Company Name,Industry,Metro Area,Million/Billion,State,% Growth,Rank,Revenue
Honor Capital,Insurance,"Springfield, MA",Million,Massachusetts,28.49,117,7
GLOBO,Business Products & Services,Philadelphia,Million,Pennsylvania,28.44,118,6
Fin Fun,Retail,"Idaho Falls, ID",Million,Idaho,28,119,19
Approyo,IT Services,"Milwaukee-Waukesha-West Allis, WI",Million,Wisconsin,27.95,120,3
Cambay Consulting,IT Services,Houston,Million,Texas,27.91,121,4
Aleph Objects,Computer Hardware,"Fort Collins, CO",Million,Colorado,27.82,122,15
Melba's Old School Po' Boys,Food & Beverage,"New Orleans-Metairie, LA",Million,Louisiana,27.75,123,3
Manifesto Agency,Advertising & Marketing,"Portland, OR",Million,Oregon,27.69,124,8
ACUMEN Capital,Financial Services,"Washington, DC",Million,District of Columbia,27.52,125,12
NORTHSTARGROUP,IT Services,"Washington, DC",Million,Maryland,27.44,126,3
Engage PEO,Human Resources,Miami,Million,Florida,27.43,127,14
Mosquito Joe,Consumer Products & Services,"Virginia Beach-Norfolk-Newport News, VA-NC",Million,Virginia,27,128,8
Lexicon Health,Media,San Jose,Million,California,26.76,129,4
Axe Wellness,Health,Nashville,Million,Tennessee,26.45,130,12
Evoke Neuroscience,Health,New York City,Million,New York,26.38,131,3
Project Repat,Retail,Boston,Million,Massachusetts,26.37,132,4
Hermitage Inn Real Estate Holding Company,Travel & Hospitality,,Million,Vermont,26.23,133,42
Organifi,Health,San Diego,Million,California,26.09,134,6
Pop! Promos,Advertising & Marketing,Philadelphia,Million,Pennsylvania,26.08,135,4
NETWORK OPTIX,Software,Los Angeles,Million,California,25.92,136,4
Boost Marketing Group,Advertising & Marketing,"Grand Rapids-Wyoming, MI",Million,Michigan,25.59,137,8
Netvious,IT Services,Dallas,Million,Texas,25.37,138,4
KnowBe4,Security,Tampa,Million,Florida,25.28,139,7
Chameleon Cold-Brew,Food & Beverage,Austin,Million,Texas,25.07,140,9
PrinterLogic,Software,"St. George, UT",Million,Utah,24.8,141,10
YourPark.com,Real Estate,Austin,Million,Texas,24.61,142,3
zSpace,Education,San Jose,Million,California,24.51,143,9
CrowdStrike,Security,Los Angeles,Million,California,24.29,144,27
Razor Consulting Solutions,Business Products & Services,,Million,North Dakota,24.26,145,3
Lancera,Software,"Provo-Orem, UT",Million,Utah,24.24,146,5
Touch of Modern,Consumer Products & Services,San Francisco,Million,California,24.24,147,81
Leadpages,IT Services,Minneapolis,Million,Minnesota,23.92,148,16
LifeTree Manufacturing,Food & Beverage,Phoenix,Million,Arizona,23.75,149,11
Handsome Brook Farm - Pasture Raised Eggs,Food & Beverage,,Million,New York,23.71,150,7
SlideBelts,Retail,"Sacramento--Roseville--Arden-Arcade, CA",Million,California,23.65,151,3
Phoenix Energy Group,Energy,New York City,Million,New York,23.55,152,5
Occam's Paradigm,Business Products & Services,New York City,Million,New York,23.55,153,3
CPSG Partners,IT Services,Dallas,Million,Texas,23.46,154,43
CAPITAL ADVANCE SOLUTIONS,Financial Services,New York City,Million,New Jersey,23.28,155,5
Missouri Sun Solar,Energy,"Springfield, MO",Million,Missouri,23.27,156,10
Greenlight Staffing Group,Human Resources,Miami,Million,Florida,23.06,157,3
