Company Name,Industry,Metro Area,Million/Billion,State,% Growth,Rank,Revenue
ENVE Composites,Manufacturing,"Ogden-Clearfield, UT",Million,Utah,1.25,"2,789",28
ODUrent.com,Real Estate,"Virginia Beach-Norfolk-Newport News, VA-NC",Million,Virginia,1.25,"2,790",5
Nicholas Pension Consultants,Financial Services,"Sacramento--Roseville--Arden-Arcade, CA",Million,California,1.25,"2,791",9
CyraCom,Business Products & Services,"Tucson, AZ",Million,Arizona,1.25,"2,792",110
onezerOne,Business Products & Services,"Sioux Falls, SD",Million,South Dakota,1.25,"2,793",4
Wet Sounds,Consumer Products & Services,Houston,Million,Texas,1.25,"2,794",18
CommunicateHealth,Health,"Springfield, MA",Million,Massachusetts,1.25,"2,795",5
Inflow,Advertising & Marketing,Denver,Million,Colorado,1.25,"2,796",3
Performance of a Lifetime,Business Products & Services,New York City,Million,New York,1.25,"2,797",3
Vivax Pro Painting,Construction,Denver,Million,Colorado,1.25,"2,798",19
PRN Physician Recommended Nutriceuticals,Health,Philadelphia,Million,Pennsylvania,1.25,"2,799",22
Greenfield Advisors,Real Estate,Seattle,Million,Washington,1.25,"2,800",6
SmartIT Staffing,IT Services,"Indianapolis, IN",Million,Indiana,1.25,"2,801",48
Sims-Lohman,Construction,Cincinnati,Million,Ohio,1.25,"2,802",109
Wilen,Advertising & Marketing,New York City,Million,New York,1.25,"2,803",78
Potomac Healthcare Solutions,Health,"Washington, DC",Million,Virginia,1.25,"2,804",9
Interactyx,Software,"Cape Coral-Fort Myers, FL",Million,Florida,1.25,"2,805",3
Clinical Resources,Health,Atlanta,Million,Georgia,1.25,"2,806",16
Bintelli and citEcar Electric Vehicles,Consumer Products & Services,"Charleston-North Charleston, SC",Million,South Carolina,1.24,"2,807",7
Axis Group,IT Services,New York City,Million,New Jersey,1.24,"2,808",23
MDS Medical,Health,Phoenix,Million,Arizona,1.24,"2,809",6
THMED,Business Products & Services,Dallas,Million,Texas,1.24,"2,810",29
Discovery Information Technologies,IT Services,"Beaumont-Port Arthur, TX",Million,Texas,1.24,"2,811",11
Impiger Technologies,Software,Dallas,Million,Texas,1.24,"2,812",5
Punchkick Interactive,Advertising & Marketing,Chicago,Million,Illinois,1.24,"2,813",6
OrigAudio,Consumer Products & Services,Los Angeles,Million,California,1.24,"2,814",8
Wilson-Bennett Technology,Business Products & Services,"Little Rock-North Little Rock-Conway, AR",Million,Arkansas,1.24,"2,815",5
Springbox,Advertising & Marketing,Austin,Million,Texas,1.24,"2,816",8
Disc Store,Retail,"Omaha-Council Bluffs, NE-IA",Million,Nebraska,1.24,"2,817",3
The Burks Team,Real Estate,"Tyler, TX",Million,Texas,1.24,"2,818",3
Monogram Foods,Food & Beverage,"Memphis, TN-MS-AR",Million,Tennessee,1.24,"2,819",442
MEDICAL GUARDIAN,Health,Philadelphia,Million,Pennsylvania,1.24,"2,820",12
Ingenious Med,Health,Atlanta,Million,Georgia,1.24,"2,821",26
Briohn Building,Construction,"Milwaukee-Waukesha-West Allis, WI",Million,Wisconsin,1.23,"2,822",67
Softech Int'l Resources,IT Services,Atlanta,Million,Georgia,1.23,"2,823",9
Mavice,Software,Los Angeles,Million,California,1.23,"2,824",6
Optimum Employer Solutions,Human Resources,Los Angeles,Million,California,1.23,"2,825",12
RainKing Software,IT Services,"Washington, DC",Million,Maryland,1.23,"2,826",27
AZ Shippers,Logistics & Transportation,Phoenix,Million,Arizona,1.23,"2,827",4
Core 3 Technologies,Computer Hardware,Los Angeles,Million,California,1.23,"2,828",30
Aimclear,Advertising & Marketing,"Duluth, MN-WI",Million,Minnesota,1.23,"2,829",9
Fingerpaint,Advertising & Marketing,"Albany-Schenectady-Troy, NY",Million,New York,1.23,"2,830",21
Comprehensive Logisitcs Co.,Logistics & Transportation,"Youngstown-Warren-Boardman, OH-PA",Million,Ohio,1.23,"2,831",176
Pinnacle Lodging,Travel & Hospitality,"Breckenridge, CO",Million,Colorado,1.23,"2,832",7
Clubessential,IT Services,Cincinnati,Million,Ohio,1.23,"2,833",14
Remarketing of America,Financial Services,Los Angeles,Million,California,1.23,"2,834",11
Keller Williams Capital Properties,Real Estate,"Washington, DC",Million,District of Columbia,1.23,"2,835",53
Atrium Staffing,Human Resources,New York City,Million,New York,1.23,"2,836",216
United Real Estate Group,Real Estate,"Kansas City, MO-KS",Million,Missouri,1.23,"2,837",38
The Nagler Group,Human Resources,"Manchester-Nashua, NH",Million,New Hampshire,1.23,"2,838",11
Sonic Boom Wellness,Health,San Diego,Million,California,1.23,"2,839",5
HMT Engineering & Surveying,Engineering,Austin,Million,Texas,1.23,"2,840",5
Screenfeed,Media,Minneapolis,Million,Minnesota,1.23,"2,841",3
Bear Staffing Services,Human Resources,Philadelphia,Million,New Jersey,1.23,"2,842",13
JMA Solutions,Government Services,"Washington, DC",Million,District of Columbia,1.22,"2,843",33
MASS Communications,Telecommunications,New York City,Million,New York,1.22,"2,844",22
Encompass Lending Group,Financial Services,Houston,Million,Texas,1.22,"2,845",6
Keiron Partners,Financial Services,"Orlando, FL",Million,Florida,1.22,"2,846",4
Keel Point,Financial Services,"Washington, DC",Million,Virginia,1.22,"2,847",14
Heavy Equipment Colleges of America,Education,"Las Vegas-Henderson-Paradise, NV",Million,Nevada,1.22,"2,848",13
Intone Networks,IT Services,New York City,Million,New Jersey,1.22,"2,849",39
Britton Marketing & Design Group,Advertising & Marketing,"Fort Wayne, IN",Million,Indiana,1.22,"2,850",9
PipelineDeals,Software,Seattle,Million,Washington,1.22,"2,851",4
Alchemy Systems,Food & Beverage,Austin,Million,Texas,1.22,"2,852",34
Made Ya Smile Dental,Health,Houston,Million,Texas,1.22,"2,853",20
Proforma Dynamic Resources,Business Products & Services,Philadelphia,Million,New Jersey,1.22,"2,854",3
idfive,Advertising & Marketing,Baltimore,Million,Maryland,1.22,"2,855",6
Gaslight,Software,Cincinnati,Million,Ohio,1.22,"2,856",4
Quantum Workplace,Human Resources,"Omaha-Council Bluffs, NE-IA",Million,Nebraska,1.22,"2,857",7
"Mister Sparky (Sarasota, Fl)",Construction,"North Port-Sarasota-Bradenton, FL",Million,Florida,1.22,"2,858",8
PK4 Media,Advertising & Marketing,Los Angeles,Million,California,1.21,"2,859",9
Liberty Automotive Protection,Insurance,New York City,Million,New Jersey,1.21,"2,860",81
MPACT Financial Group,Financial Services,Dallas,Million,Texas,1.21,"2,861",3
ZoomInfo,Advertising & Marketing,Boston,Million,Massachusetts,1.21,"2,862",27
Classy Llama,Advertising & Marketing,"Springfield, MO",Million,Missouri,1.21,"2,863",5
METASENSE,IT Services,Philadelphia,Million,New Jersey,1.21,"2,864",3
DeAngelis Diamond Construction | Healthcare Group,Construction,"Naples-Immokalee-Marco Island, FL",Million,Florida,1.21,"2,865",226
Construction Risk Partners,Insurance,New York City,Million,New Jersey,1.21,"2,866",17
Six Spoke Media,Advertising & Marketing,San Francisco,Million,California,1.21,"2,867",6
36 lyn refuel station,Retail,Minneapolis,Million,Minnesota,1.21,"2,868",10
Stevens Construction,Construction,"Cape Coral-Fort Myers, FL",Million,Florida,1.21,"2,869",34
InMoment,Software,Salt Lake City,Million,Utah,1.21,"2,870",48
Black Mountain Systems,Software,San Diego,Million,California,1.21,"2,871",27
RSDCGroup,IT Services,"Washington, DC",Million,Virginia,1.21,"2,872",5
Deep River Snacks,Food & Beverage,"Hartford-West Hartford-East Hartford, CT",Million,Connecticut,1.21,"2,873",26
LabConnect,Health,Seattle,Million,Washington,1.2,"2,874",22
7Summits,Business Products & Services,"Milwaukee-Waukesha-West Allis, WI",Million,Wisconsin,1.2,"2,875",14
RTM Engineering Consultants,Engineering,Chicago,Million,Illinois,1.2,"2,876",11
roo,Construction,"North Port-Sarasota-Bradenton, FL",Million,Florida,1.2,"2,877",17
Health Solutions,Health,"Cedar Rapids, IA",Million,Iowa,1.2,"2,878",4
TechShop,Manufacturing,San Jose,Million,California,1.2,"2,879",14
iuvo Technologies,IT Services,Boston,Million,Massachusetts,1.2,"2,880",3
InfoObjects,IT Services,San Jose,Million,California,1.2,"2,881",12
Dazadi,Retail,Los Angeles,Million,California,1.2,"2,882",16
Excavator Rental Services,Construction,"Portland, OR",Million,Washington,1.2,"2,883",9
Sorriso Technologies,Software,Boston,Million,Massachusetts,1.2,"2,884",5
Tunguyi Industries,Food & Beverage,Atlanta,Million,Georgia,1.2,"2,885",2
ARCpoint Franchise Group,Health,"Greenville-Anderson-Mauldin, SC",Million,South Carolina,1.2,"2,886",3
Corporate Computer Solutions,IT Services,Tampa,Million,Florida,1.2,"2,887",9
Adaptive Communications,IT Services,Boston,Million,New Hampshire,1.2,"2,888",104
No Limit Agency,Advertising & Marketing,Chicago,Million,Illinois,1.2,"2,889",4
Finicity,Financial Services,Salt Lake City,Million,Utah,1.19,"2,890",6
CBI,Security,Detroit,Million,Michigan,1.19,"2,891",50
Divensi,IT Services,Seattle,Million,Washington,1.19,"2,892",10
Peoplelink,Human Resources,"South Bend-Mishawaka, IN-MI",Million,Indiana,1.19,"2,893",318
ProTransport-1,Health,"Santa Rosa, CA",Million,California,1.19,"2,894",82
Elwood Staffing,Human Resources,"Columbus, IN",Million,Indiana,1.19,"2,895",804
Pinnacle Solutions,Government Services,"Huntsville, AL",Million,Alabama,1.19,"2,896",22
Vista Applied Solutions Group,IT Services,"Washington, DC",Million,Virginia,1.19,"2,897",12
Marquam Group,IT Services,"Portland, OR",Million,Oregon,1.19,"2,898",5
The Cassina Group,Real Estate,"Charleston-North Charleston, SC",Million,South Carolina,1.19,"2,899",5
Power Home Remodeling,Construction,Philadelphia,Million,Pennsylvania,1.19,"2,900",367
Home Trends and Design,Consumer Products & Services,Austin,Million,Texas,1.19,"2,901",20
Digital Consulting & Software Services,Business Products & Services,Houston,Million,Texas,1.19,"2,902",41
Invoyent,Health,Chicago,Million,Illinois,1.19,"2,903",13
Opus Group,IT Services,"Washington, DC",Million,Virginia,1.19,"2,904",6
Instant Freight Solutions,Logistics & Transportation,Atlanta,Million,Georgia,1.19,"2,905",3
Outback Landscape,Construction,"Idaho Falls, ID",Million,Idaho,1.19,"2,906",3
Xpert Technologies,IT Services,Detroit,Million,Michigan,1.19,"2,907",3
Lollicup USA,Business Products & Services,"Riverside-San Bernardino-Ontario, CA",Million,California,1.18,"2,908",100
Manhattan Strategy Group,Business Products & Services,"Washington, DC",Million,Maryland,1.18,"2,909",11
Equiscript,Health,"Charleston-North Charleston, SC",Million,South Carolina,1.18,"2,910",3
Reqroute,Human Resources,San Francisco,Million,California,1.18,"2,911",32
Legacy Air,Business Products & Services,Phoenix,Million,Arizona,1.18,"2,912",24
Pure Edge Lighting,Manufacturing,Chicago,Million,Illinois,1.18,"2,913",19
Journey Mexico,Travel & Hospitality,"Laredo, TX",Million,Texas,1.18,"2,914",10
Softjourn,IT Services,San Francisco,Million,California,1.18,"2,915",2
SheSpeaks,Advertising & Marketing,New York City,Million,New York,1.18,"2,916",3
Aladtec,Government Services,Minneapolis,Million,Wisconsin,1.18,"2,917",3
National Petroleum,Energy,San Francisco,Million,California,1.18,"2,918",59
FBC Mortgage,Financial Services,"Orlando, FL",Million,Florida,1.18,"2,919",107
EDTS,IT Services,"Augusta-Richmond County, GA-SC",Million,Georgia,1.18,"2,920",13
True North Management Services,Telecommunications,"St. Louis, MO-IL",Million,Missouri,1.18,"2,921",10
Total Care Connections,Health,"Tucson, AZ",Million,Arizona,1.18,"2,922",2
The Greene Group,Human Resources,Charlotte,Million,North Carolina,1.18,"2,923",50
C-Level Marketing and Sales Consulting,Advertising & Marketing,Dallas,Million,Texas,1.18,"2,924",6
RTA Cabinet Store,Consumer Products & Services,Philadelphia,Million,Pennsylvania,1.18,"2,925",12
Studio Movie Grill,Food & Beverage,Dallas,Million,Texas,1.17,"2,926",161
Groom Energy Solutions,Energy,Boston,Million,Massachusetts,1.17,"2,927",44
DTI,Business Products & Services,Atlanta,Million,Georgia,1.17,"2,928",407
Kidd Roofing,Construction,Austin,Million,Texas,1.17,"2,929",26
Sydor Technologies,Manufacturing,"Rochester, NY",Million,New York,1.17,"2,930",8
Design Innovation Architects,Construction,"Knoxville, TN",Million,Tennessee,1.17,"2,931",2
PulseTV,Retail,Chicago,Million,Illinois,1.17,"2,932",17
US Freight,Logistics & Transportation,Cleveland,Million,Ohio,1.17,"2,933",17
Vivayic,Business Products & Services,"Lincoln, NE",Million,Nebraska,1.17,"2,934",3
Mankin Media Systems,Media,Nashville,Million,Tennessee,1.17,"2,935",10
VOX marketing group,Business Products & Services,"Provo-Orem, UT",Million,Utah,1.17,"2,936",48
ADVANCED DISCOVERY,Business Products & Services,Austin,Million,Texas,1.17,"2,937",72
Managed Care Advisors,Government Services,"Washington, DC",Million,Maryland,1.17,"2,938",9
REPASS,Advertising & Marketing,Cincinnati,Million,Ohio,1.17,"2,939",3
Keiland Construction,Construction,"Lake Charles, LA",Million,Louisiana,1.17,"2,940",12
NMR Consulting,IT Services,"Washington, DC",Million,Virginia,1.17,"2,941",25
JobFinders Employment Services,Human Resources,"Columbia, MO",Million,Missouri,1.17,"2,942",9
Cooper's Hawk Winery & Restaurants,Food & Beverage,Chicago,Million,Illinois,1.17,"2,943",148
Namecheap,IT Services,Los Angeles,Million,California,1.17,"2,944",76
InterLinc Mortgage Services,Financial Services,Houston,Million,Texas,1.16,"2,945",52
Rehabmart.com,Health,"Athens-Clarke County, GA",Million,Georgia,1.16,"2,946",6
Initech Global,IT Services,"Grand Rapids-Wyoming, MI",Million,Michigan,1.16,"2,947",8
Accela,Government Services,San Francisco,Million,California,1.16,"2,948",121
BetterThanDiamond.com,Manufacturing,Seattle,Million,Washington,1.16,"2,949",2
Moon Valley Nurseries,Construction,Phoenix,Million,Arizona,1.16,"2,950",97
Avalution Consulting,Business Products & Services,Cleveland,Million,Ohio,1.16,"2,951",5
Synergixx,Advertising & Marketing,Philadelphia,Million,New Jersey,1.16,"2,952",14
Before The Movie,Advertising & Marketing,"Vallejo-Fairfield, CA",Million,California,1.16,"2,953",5
The Midtown Group,Human Resources,"Washington, DC",Million,District of Columbia,1.16,"2,954",36
Hollis + Miller Architects,Construction,"Kansas City, MO-KS",Million,Kansas,1.16,"2,955",15
SMI Sign Systems,Manufacturing,"Washington, DC",Million,Maryland,1.16,"2,956",6
Wood Gutmann & Bogart Insurance Brokers,Insurance,Los Angeles,Million,California,1.16,"2,957",27
MJ Boyd Consulting,Human Resources,New York City,Million,New York,1.16,"2,958",7
TekValley,IT Services,San Francisco,Million,California,1.16,"2,959",10
101 Mobility,Health,"Wilmington, NC",Million,North Carolina,1.16,"2,960",4
Foundant Technologies,Software,"Bozeman, MT",Million,Montana,1.16,"2,961",4
TSI,Logistics & Transportation,Philadelphia,Million,Pennsylvania,1.16,"2,962",11
FCi Federal,Government Services,"Washington, DC",Million,Virginia,1.16,"2,963",153
innovative lease services,Financial Services,San Diego,Million,California,1.16,"2,964",2
Healthcare IT Leaders,Health,Atlanta,Million,Georgia,1.16,"2,965",33
The Persimmon Group,Business Products & Services,"Tulsa, OK",Million,Oklahoma,1.16,"2,966",5
Upward Projects,Food & Beverage,Phoenix,Million,Arizona,1.16,"2,967",28
Threadbird,Business Products & Services,"Orlando, FL",Million,Florida,1.15,"2,968",6
O2 Fitness,Health,"Raleigh, NC",Million,North Carolina,1.15,"2,969",29
Global Facility Management & construction,Construction,New York City,Million,New York,1.15,"2,970",85
TideSmart Global,Advertising & Marketing,"Portland-South Portland, ME",Million,Maine,1.15,"2,971",16
eROI,Advertising & Marketing,"Portland, OR",Million,Oregon,1.15,"2,972",5
AEM,Software,"Washington, DC",Million,Virginia,1.15,"2,973",68
Nina Hale,Advertising & Marketing,Minneapolis,Million,Minnesota,1.15,"2,974",8
JP Fuji Group,Food & Beverage,Boston,Million,Massachusetts,1.15,"2,975",11
Balani Custom Clothiers,Retail,Chicago,Million,Illinois,1.15,"2,976",5
Total Security Solutions,Security,Detroit,Million,Michigan,1.15,"2,977",17
life safety engineered systems,Security,"Buffalo-Cheektowaga-Niagara Falls, NY",Million,New York,1.15,"2,978",14
Hargrove Engineers + Constructors,Engineering,"Mobile, AL",Million,Alabama,1.15,"2,979",177
Altvia Solutions,Software,"Boulder, CO",Million,Colorado,1.15,"2,980",3
Marquee Staffing,Human Resources,Los Angeles,Million,California,1.15,"2,981",19
Eview 360,Advertising & Marketing,Detroit,Million,Michigan,1.15,"2,982",28
HGA,Engineering,"Monroe, LA",Million,Louisiana,1.15,"2,983",120
Real Estate Worldwide,Real Estate,San Diego,Million,California,1.15,"2,984",8
Swift Straw,Environmental Services,Atlanta,Million,Georgia,1.15,"2,985",15
Consumer Real Estate Finance Co.,Financial Services,Miami,Million,Florida,1.15,"2,986",4
UpClear,Software,New York City,Million,New York,1.15,"2,987",3
Technatomy,Government Services,"Washington, DC",Million,Virginia,1.15,"2,988",87
ESI Ergonomic Solutions,Manufacturing,Phoenix,Million,Arizona,1.15,"2,989",37
RPI Group,Security,"Washington, DC",Million,Virginia,1.14,"2,990",5
Sun Title Agency,Real Estate,"Grand Rapids-Wyoming, MI",Million,Michigan,1.14,"2,991",7
ProSource Consulting,Government Services,"Washington, DC",Million,Virginia,1.14,"2,992",23
Complete Intelligence,Business Products & Services,Denver,Million,Colorado,1.14,"2,993",3
Eagle Datagistics,IT Services,Tampa,Million,Florida,1.14,"2,994",5
Engineering & Computer Simulations,Government Services,"Orlando, FL",Million,Florida,1.14,"2,995",14
Netwrix,Software,Los Angeles,Million,California,1.14,"2,996",13
Energy Fitness,Health,New York City,Million,New York,1.14,"2,997",4
StrategicHealthSolutions,Government Services,"Omaha-Council Bluffs, NE-IA",Million,Nebraska,1.14,"2,998",42
Skysis,Health,Phoenix,Million,Arizona,1.14,"2,999",4
Lynker Technologies,Government Services,"Washington, DC",Million,Virginia,1.14,"3,000",6
Parady Life & Annuity,Financial Services,"The Villages, FL",Million,Florida,1.14,"3,001",10
TekSolv,Business Products & Services,Philadelphia,Million,Delaware,1.14,"3,002",18
nfrastructure,IT Services,"Albany-Schenectady-Troy, NY",Million,New York,1.14,"3,003",114
Liquid Interactive,Advertising & Marketing,"Allentown-Bethlehem-Easton, PA-NJ",Million,Pennsylvania,1.14,"3,004",6
Click Rain,Advertising & Marketing,"Sioux Falls, SD",Million,South Dakota,1.14,"3,005",4
Frank Myers Auto Maxx,Consumer Products & Services,"Winston-Salem, NC",Million,North Carolina,1.14,"3,006",11
Faulkner Design Group,Business Products & Services,Dallas,Million,Texas,1.14,"3,007",18
Convoy Technologies,Logistics & Transportation,Los Angeles,Million,California,1.14,"3,008",4
Lifes2good,Consumer Products & Services,Chicago,Million,Illinois,1.14,"3,009",35
iPlace USA,Human Resources,"Washington, DC",Million,Virginia,1.14,"3,010",5
Reed Integration,Government Services,"Virginia Beach-Norfolk-Newport News, VA-NC",Million,Virginia,1.14,"3,011",5
MindMax,Education,Boston,Million,Massachusetts,1.14,"3,012",4
LDV Hospitality Management,Food & Beverage,New York City,Million,New York,1.14,"3,013",66
Expo Logic,Business Products & Services,Philadelphia,Million,Pennsylvania,1.14,"3,014",5
w3r Consulting,IT Services,Detroit,Million,Michigan,1.13,"3,015",57
Synergy Consortium Services,IT Services,"Madison, WI",Million,Wisconsin,1.13,"3,016",23
All Phase Restoration,Construction,"Fort Collins, CO",Million,Colorado,1.13,"3,017",25
Americollect,Business Products & Services,,Million,Wisconsin,1.13,"3,018",18
Five Blocks,Business Products & Services,New York City,Million,New York,1.13,"3,019",3
InContext Solutions,Business Products & Services,Chicago,Million,Illinois,1.13,"3,020",7
Latitude 36,Human Resources,Nashville,Million,Tennessee,1.13,"3,021",52
Bonitas International,Consumer Products & Services,Cleveland,Million,Ohio,1.13,"3,022",5
Prime Therapeutics,Health,Minneapolis,Billion,Minnesota,1.13,"3,023",
Titan Protection and Consulting,Security,"Kansas City, MO-KS",Million,Kansas,1.13,"3,024",5
DriveTIme,Consumer Products & Services,Phoenix,Billion,Arizona,1.13,"3,025",
IntelliFarms,Engineering,"Kansas City, MO-KS",Million,Missouri,1.13,"3,026",8
ABIP CPAs,Financial Services,Houston,Million,Texas,1.13,"3,027",5
TechMD,IT Services,Los Angeles,Million,California,1.13,"3,028",6
Park Place Technologies,IT Services,Cleveland,Million,Ohio,1.13,"3,029",88
Solutions by Text,Telecommunications,Dallas,Million,Texas,1.13,"3,030",3
Intersys Consulting,IT Services,Austin,Million,Texas,1.13,"3,031",19
Vitality Medical,Health,Salt Lake City,Million,Utah,1.13,"3,032",19
pMD,Health,San Francisco,Million,California,1.13,"3,033",6
Staff Smart,IT Services,San Diego,Million,California,1.13,"3,034",3
Forthea Interactive,Advertising & Marketing,Houston,Million,Texas,1.13,"3,035",5
Campus Automotive,Retail,"Blacksburg-Christiansburg-Radford, VA",Million,Virginia,1.13,"3,036",3
NorthStar Solutions Group,Business Products & Services,Philadelphia,Million,Pennsylvania,1.13,"3,037",10
Inspira Marketing,Advertising & Marketing,"Bridgeport-Stamford-Norwalk, CT",Million,Connecticut,1.13,"3,038",37
Nintex,Software,Seattle,Million,Washington,1.13,"3,039",76
ComputerSearch,Business Products & Services,"Buffalo-Cheektowaga-Niagara Falls, NY",Million,New York,1.12,"3,040",6
DZ Solutions Enterprises,IT Services,Los Angeles,Million,California,1.12,"3,041",44
Saylent,Software,Boston,Million,Massachusetts,1.12,"3,042",7
InfoSmart Technologies,IT Services,Atlanta,Million,Georgia,1.12,"3,043",5
ABIS,Software,Houston,Million,Texas,1.12,"3,044",4
PRO-PT,Health,"Visalia-Porterville, CA",Million,California,1.12,"3,045",7
eHouse Studio,Advertising & Marketing,"Charleston-North Charleston, SC",Million,South Carolina,1.12,"3,046",2
Xcelerate Solutions,Government Services,"Washington, DC",Million,Virginia,1.12,"3,047",28
Avella Specialty Pharmacy,Health,Phoenix,Billion,Arizona,1.12,"3,048",
Empyrean Benefit Solutions,Human Resources,Houston,Million,Texas,1.12,"3,049",54
BMG Conveyor Services,Manufacturing,Tampa,Million,Florida,1.12,"3,050",7
PlusOne Solutions,Business Products & Services,"Orlando, FL",Million,Florida,1.12,"3,051",6
Internet Creations,Software,New York City,Million,New Jersey,1.12,"3,052",5
TOP Step Consulting,IT Services,"Washington, DC",Million,Virginia,1.12,"3,053",3
IMMY,Health,"Oklahoma City, OK",Million,Oklahoma,1.12,"3,054",8
Planit,Advertising & Marketing,Baltimore,Million,Maryland,1.12,"3,055",22
infojini,IT Services,Baltimore,Million,Maryland,1.12,"3,056",10
ESP IT,IT Services,Minneapolis,Million,Minnesota,1.12,"3,057",11
PSP,Manufacturing,Atlanta,Million,Georgia,1.12,"3,058",18
Trinity Insight,Advertising & Marketing,Philadelphia,Million,Pennsylvania,1.12,"3,059",3
Garland Heart Management Group,Business Products & Services,Dallas,Million,Texas,1.11,"3,060",2
Murphy Business & Financial,Business Products & Services,Tampa,Million,Florida,1.11,"3,061",9
Inada USA,Consumer Products & Services,"Boulder, CO",Million,Colorado,1.11,"3,062",28
Horizontal Integration,IT Services,Minneapolis,Million,Minnesota,1.11,"3,063",65
OpFocus,IT Services,Boston,Million,Massachusetts,1.11,"3,064",4
Higher Ed Growth,Education,Phoenix,Million,Arizona,1.11,"3,065",11
Procentrix,IT Services,"Washington, DC",Million,Virginia,1.11,"3,066",19
Ydraw,Advertising & Marketing,"St. George, UT",Million,Utah,1.11,"3,067",3
Company Folders,Business Products & Services,Detroit,Million,Michigan,1.11,"3,068",2
Power Pro-Tech Services,Energy,"Orlando, FL",Million,Florida,1.11,"3,069",33
DataBank IMX,IT Services,Philadelphia,Million,Pennsylvania,1.11,"3,070",99
Navitas Business Consulting,IT Services,"Washington, DC",Million,Virginia,1.11,"3,071",7
Nuun & Company,Food & Beverage,Seattle,Million,Washington,1.11,"3,072",15
TitleSmart,Insurance,Minneapolis,Million,Minnesota,1.11,"3,073",9
Industrial Lighting Products,Manufacturing,"Orlando, FL",Million,Florida,1.11,"3,074",44
Network9,Telecommunications,"Columbus, OH",Million,Ohio,1.1,"3,075",8
WorkCompEDI,Business Products & Services,New York City,Million,New York,1.1,"3,076",6
Hissho Sushi,Food & Beverage,Charlotte,Million,North Carolina,1.1,"3,077",100
Executech Lease Group,Business Products & Services,"Portland, OR",Million,Washington,1.1,"3,078",9
TEVET,Government Services,"Greeneville, TN",Million,Tennessee,1.1,"3,079",137
Discovery Benefits,Health,"Fargo, ND-MN",Million,North Dakota,1.1,"3,080",50
Pride Products Distributors,Advertising & Marketing,New York City,Million,New Jersey,1.1,"3,081",4
Frontier Title Company,Insurance,Houston,Million,Texas,1.1,"3,082",11
Dashed,Food & Beverage,Boston,Million,Massachusetts,1.1,"3,083",9
Mahomed Sales and Warehousing,Logistics & Transportation,"Indianapolis, IN",Million,Indiana,1.1,"3,084",115
Stone Brewing Co.,Food & Beverage,San Diego,Million,California,1.1,"3,085",217
1798 Consultants,Health,San Diego,Million,California,1.1,"3,086",7
PROMEDICAL,Health,Boston,Million,Massachusetts,1.1,"3,087",6
Mogo Marketing and Media,Advertising & Marketing,San Francisco,Million,California,1.1,"3,088",13
Five Star Restoration,Construction,"Sacramento--Roseville--Arden-Arcade, CA",Million,California,1.1,"3,089",7
Custom Media Environments,Business Products & Services,New York City,Million,New York,1.1,"3,090",5
Landscape Development,Construction,Los Angeles,Million,California,1.1,"3,091",45
Americord Registry,Health,New York City,Million,New York,1.1,"3,092",4
SVS Group,Human Resources,San Francisco,Million,California,1.1,"3,093",35
Mission Wealth Management,Financial Services,"Santa Maria-Santa Barbara, CA",Million,California,1.1,"3,094",7
Innovative Business Solutions,Telecommunications,Denver,Million,Colorado,1.1,"3,095",4
Three Sigma Software,Software,"Washington, DC",Million,Virginia,1.1,"3,096",10
Raining Rose,Manufacturing,"Cedar Rapids, IA",Million,Iowa,1.1,"3,097",38
United Capital,Financial Services,Los Angeles,Million,California,1.1,"3,098",139
Adaptive Medical Partners,Health,Dallas,Million,Texas,1.1,"3,099",3
Aeroflow Healthcare,Health,"Asheville, NC",Million,North Carolina,1.1,"3,100",51
Landry/French Construction Co.,Construction,"Portland-South Portland, ME",Million,Maine,1.1,"3,101",39
Macro Solutions,Government Services,"Washington, DC",Million,District of Columbia,1.1,"3,102",28
Bhava Communications,Advertising & Marketing,San Francisco,Million,California,1.1,"3,103",5
Avionte,Human Resources,Minneapolis,Million,Minnesota,1.1,"3,104",14
SRS Distribution,Consumer Products & Services,Dallas,Billion,Texas,1.1,"3,105",
JD Mellberg Financial,Financial Services,"Tucson, AZ",Million,Arizona,1.09,"3,106",30
Graboyes Commercial Window Co.,Construction,Philadelphia,Million,Pennsylvania,1.09,"3,107",14
BluLink,IT Services,Seattle,Million,Washington,1.09,"3,108",2
HighTower Advisors,Financial Services,Chicago,Million,Illinois,1.09,"3,109",166
The Execu|Search Group,Human Resources,New York City,Million,New York,1.09,"3,110",130
Advanced Systems Design,Government Services,"Tallahassee, FL",Million,Florida,1.09,"3,111",22
Concept Technology,IT Services,Nashville,Million,Tennessee,1.09,"3,112",8
Envision Capital Group,Financial Services,Los Angeles,Million,California,1.09,"3,113",21
LinguaLinx,Business Products & Services,"Albany-Schenectady-Troy, NY",Million,New York,1.09,"3,114",7
Advantage Media Group,Media,"Charleston-North Charleston, SC",Million,South Carolina,1.09,"3,115",6
Arora Engineers,Engineering,Philadelphia,Million,Pennsylvania,1.09,"3,116",17
Opus Agency,Business Products & Services,"Portland, OR",Million,Oregon,1.09,"3,117",47
Innovative Enterprises,Business Products & Services,"Virginia Beach-Norfolk-Newport News, VA-NC",Million,Virginia,1.09,"3,118",11
New York Technology Partners,IT Services,"Rochester, NY",Million,New York,1.09,"3,119",6
Atlanta Communities Real Estate Brokerage,Real Estate,Atlanta,Million,Georgia,1.09,"3,120",37
